JobNumber,JobDescription,Master_Controllers,Field_Controllers,Sensors,Panels,Software,Computers,HO02,HO03,HO04,HO05,HO06,HO07,HO08,HO09,HO10,HO11,HO12
230300B,Gamechanger DSG Zero Irving,1211.08,1475.72,2591.12,354.69,0.0,0.0,5072.98,1263.0,1879.13,4813.19,0.0,0.0,0.0,5578.98,913.57,0.0,0.0
230400B,335 Lex ADCO 13th Fl,0.0,0.0,0.0,0.0,0.0,0.0,588.31,0.0,0.0,1689.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230500B,MtSinai A'berg Fl 24 SW Office,0.0,0.0,838.0300000000001,0.0,0.0,0.0,1765.24,0.0,147.02,2881.17,0.0,0.0,0.0,737.61,2135.04,0.0,0.0
230700B,Curtis & Ginsberg - 27th fl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230800B,40 W 57ST Coil Replacement,0.0,0.0,919.1099999999999,0.0,0.0,0.0,0.0,0.0,0.0,54.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230900B,UBS - 15th floor,0.0,0.0,37.4,121.25,0.0,0.0,103.47,0.0,749.01,693.24,0.0,0.0,0.0,1282.52,894.91,0.0,0.0
231000B,610 5th Ave CattertonExpansion,1275.13,1335.32,2358.64,270.66,55.53,0.0,2529.6,804.32,2030.2,5135.2,0.0,0.0,0.0,3217.49,2244.4,0.0,0.0
231100B,PUIG - Tish - 32nd Fl,0.0,7683.84,13351.509999999998,0.0,0.0,0.0,661.61,0.0,2659.07,5638.0,0.0,0.0,0.0,0.0,125.87,0.0,0.0
231200B,40W57 - Fl 34 Leak Detection,0.0,0.0,7850.45,0.0,0.0,0.0,206.97,0.0,1589.94,1958.63,0.0,0.0,0.0,1926.98,6443.59,0.0,129.8
231300B,909 3rd Ave - Fl 12 Vornado,0.0,1687.34,4330.76,135.33,0.0,0.0,3533.25,352.98,3730.43,5446.41,0.0,0.0,0.0,2749.37,0.0,0.0,259.58
231400B,230 PAS Discovery Temp Sensors,0.0,0.0,66.63,0.0,0.0,0.0,0.0,0.0,702.2,1019.57,0.0,0.0,0.0,740.01,786.3,0.0,0.0
231500B,White Plains Hosp - CAMS Radio,0.0,172.2,0.0,0.0,0.0,0.0,620.92,0.0,748.61,4276.99,0.0,0.0,0.0,294.33,0.0,0.0,0.0
231600B,UBS - 3rd fl Cancelled,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231700B,"Moinian - Cellar, 9-13 25 & 31",0.0,0.0,0.0,514.83,0.0,0.0,12805.19,0.0,1497.22,4402.03,0.0,0.0,0.0,2236.09,6736.76,0.0,0.0
231800B,Zero Irving - 20th fl IFB,605.55,0.0,4742.32,0.0,0.0,0.0,2477.97,0.0,1263.28,1724.48,0.0,0.0,0.0,2136.78,1112.82,0.0,0.0
231900B,10 Rock - MEP Modi 7-18,0.0,0.0,705.99,0.0,0.0,0.7172125,8148.58,3507.31,12256.46,18625.87,0.0,0.0,0.0,11852.58,4894.28,0.0,0.0
232100B,Mt. Sinai - CAM CHW injection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.5,0.0,0.0,0.0,0.0,2002.78,0.0,0.0
232400B,717 5th Ave  AB Stable 12th fl,6536.19,1883.9499999999998,16081.21,0.0,3008.91,0.0,2742.42,1165.23,8614.75,18230.25,0.0,0.0,0.0,6205.3,2460.06,0.0,0.0
